Title,Url,FileName,Status
Sukanya Samriddhi Account,https://indianbank.in/departments/sukanya-samriddhi-account/,indianbank_75.txt,Found
Lending rates,https://indianbank.in/lending-rates/,indianbank_76.txt,Found
Awards & Accolades,https://indianbank.in/departments/awards-accolades/,indianbank_77.txt,Found
Chief Vigilance Officer,https://indianbank.in/departments/cvo/,indianbank_78.txt,Found
Departments,https://indianbank.in/departments/,indianbank_79.txt,Found
Press Releases,https://indianbank.in/departments/press-releases/,indianbank_80.txt,Found
Right to Information Act 2005,https://indianbank.in/departments/right-to-information-act-2005/,indianbank_81.txt,Found
e Payment of Direct Taxes,https://indianbank.in/departments/e-payment-of-direct-taxes/,indianbank_82.txt,Found
"Nodal Officers  Banking Ombudsman scheme, 2021",https://indianbank.in/departments/nodal-officers-banking-ombudsman-scheme-2016/,indianbank_83.txt,Found
MSME,https://indianbank.in/departments/msme/,indianbank_84.txt,Found
Customer Centric Services,https://indianbank.in/departments/customer-centric-services/,indianbank_85.txt,Found
N R I / Foreign Exchange,https://indianbank.in/departments/n-r-i-foreign-exchange/,indianbank_86.txt,Found
Savings Bank A/c,https://indianbank.in/category/savings-bank-a-c/,indianbank_87.txt,Found
Centralized Pension Processing Centre,https://indianbank.in/departments/centralized-pension-processing-systems/,indianbank_88.txt,Found
Nodal Officers- Customer service,https://indianbank.in/departments/nodal-officers-customer-service/,indianbank_89.txt,Found
Board of Directors,https://indianbank.in/departments/board-of-directors/,indianbank_90.txt,Found
Internet banking,https://indianbank.in/departments/internet-banking/,indianbank_91.txt,Found
Tenders / Auction,https://indianbank.in/tenders/,indianbank_92.txt,Found
ATM / Debit Cards,https://indianbank.in/departments/atm-debit-cards/,indianbank_93.txt,Found
Colombo Branch,https://indianbank.in/departments/colombo-branch/,indianbank_94.txt,Found
F.A.Qs,https://indianbank.in/departments/f-a-qs/,indianbank_95.txt,Found
Complaints Officer,https://indianbank.in/departments/complaints-officers-list/,indianbank_96.txt,Found
Online Loans,https://indianbank.in/departments/digital-lending/,indianbank_97.txt,Found
National Common Mobility Card (NCMC),https://indianbank.in/departments/national-common-mobility-card-ncmc/,indianbank_98.txt,Found
General Managers,https://indianbank.in/departments/general-managers/,indianbank_99.txt,Found
Positive Pay System (PPS),https://indianbank.in/departments/pps/,indianbank_100.txt,Found
Merchant Digital Products,https://indianbank.in/departments/merchant-digital-products/,indianbank_101.txt,Found
NRI A/cs,https://indianbank.in/category/nri-a-cs/,indianbank_102.txt,Found
Point of Sale (PoS),https://indianbank.in/departments/pos/,indianbank_103.txt,Found
Zonal Offices,https://indianbank.in/departments/zonal-offices/,indianbank_104.txt,Found
IndOASIS,https://indianbank.in/departments/indoasis/,indianbank_105.txt,Found
Site Map,https://indianbank.in/site-map/,indianbank_106.txt,Found
,https://indianbank.in/departments/shg-covid-sahaya-loan/,,Not Found
,https://indianbank.in/departments/ind-mse-covid-emergency-loan/,,Not Found
IMAGE,https://indianbank.in/departments/image/,indianbank_109.txt,Found
Banking Ombudsman,https://indianbank.in/departments/banking-ombudsman/,indianbank_110.txt,Found
IB Doctor Plus,https://indianbank.in/departments/ib-doctor-plus/,indianbank_111.txt,Found
IB CONTRACTORS,https://indianbank.in/departments/ib-contractors-2/,indianbank_112.txt,Found
IB MY OWN SHOP,https://indianbank.in/departments/47556/,indianbank_113.txt,Found
INDSME Arogyam,https://indianbank.in/departments/indsme-arogyam/,indianbank_114.txt,Found
IND-SME EASE,https://indianbank.in/departments/ind-sme-ease/,indianbank_115.txt,Found
GECLS Extension Loans,https://indianbank.in/departments/gelcs-extension-loans/,indianbank_116.txt,Found
ONLINE SHISHU MUDRA LOAN,https://indianbank.in/departments/online-shishu-mudra-loan/,indianbank_117.txt,Found
INDSME Sanjeevini,https://indianbank.in/departments/indsme-sanjeevini/,indianbank_118.txt,Found
IND MSME VEHICLE,https://indianbank.in/departments/ind-msme-vehicle/,indianbank_119.txt,Found
IB Tradewell,https://indianbank.in/departments/ib-tradewell/,indianbank_120.txt,Found
IND-SME E-VAAHAN,https://indianbank.in/departments/ind-sme-e-vaahan/,indianbank_121.txt,Found
IB MICRO,https://indianbank.in/departments/ib-micro/,indianbank_122.txt,Found
IND-SURYA SHAKTI,https://indianbank.in/departments/ind-surya-shakti/,indianbank_123.txt,Found
IND-SDSM (IND-SUBORDINATED DEBT FOR STRESSED MSME),https://indianbank.in/departments/ind-sdsm-ind-subordinated-debt-for-stressed-msme/,indianbank_124.txt,Found
IND SME Secure,https://indianbank.in/departments/ind-sme-secure/,indianbank_125.txt,Found
IND MSME SAKHI,https://indianbank.in/departments/ind-msme-sakhi/,indianbank_126.txt,Found
IB Home Loan Plus,https://indianbank.in/departments/ib-home-loan-plus/,indianbank_127.txt,Found
Interest Rates on Personal Segment Loan Products,https://indianbank.in/departments/interest-rates-on-personal-segment-loan-products/,indianbank_128.txt,Found
Processing Fee on Personal Segment Loan Products,https://indianbank.in/departments/processing-fee-on-personal-segment-loan-products/,indianbank_129.txt,Found
Jewel Loan,https://indianbank.in/departments/jewel-loan/,indianbank_130.txt,Found
LOAN AGAINST LEASE RENTALS,https://indianbank.in/departments/loan-against-lease-rentals/,indianbank_131.txt,Found
NRI Plot Loan,https://indianbank.in/departments/nri-plot-loan/,indianbank_132.txt,Found
Loan for Purchase of “Van / Minibus / Bus / Ambulance” to Institutions / Firms / PSU / Company / Hospitals,https://indianbank.in/departments/loan-for-purchase-of-van-minibus-bus-ambulance-to-institutions-firms-psu-company-hospitals/,indianbank_133.txt,Found
IB Home Loan,https://indianbank.in/departments/ib-home-loan/,indianbank_134.txt,Found
Reverse Mortgage,https://indianbank.in/departments/ind-reverse-mortgage/,indianbank_135.txt,Found
Ind Mortgage,https://indianbank.in/departments/ind-mortgage/,indianbank_136.txt,Found
IB Home Loan Combo,https://indianbank.in/departments/ib-home-loan-combo/,indianbank_137.txt,Found
NRI Home Loan,https://indianbank.in/departments/nri-home-loan/,indianbank_138.txt,Found
OD against Gold Jewels,https://indianbank.in/departments/od-against-gold-jewels/,indianbank_139.txt,Found
IB HOME ENRICH,https://indianbank.in/departments/ib-home-enrich/,indianbank_140.txt,Found
IB Home Improve,https://indianbank.in/departments/home-improve/,indianbank_141.txt,Found
IB HOME ADVANTAGE,https://indianbank.in/departments/ib-home-advantage/,indianbank_142.txt,Found
About US,https://indianbank.in/category/about-us/,indianbank_143.txt,Found
NEFT,https://indianbank.in/departments/neft/,indianbank_144.txt,Found
Ind Jet Remit (RTGS),https://indianbank.in/departments/ind-jet-remit-rtgs-2/,indianbank_145.txt,Found
Applications supported by Blocked Amount (ASBA),https://indianbank.in/departments/applications-supported-by-blocked-amount/,indianbank_146.txt,Found
Resolution Framework for COVID 19 Related Stress  For eligible Corporate borrowers and MSME above Rs.25 crore as per RBI guidelines,https://indianbank.in/departments/resolution-framework-for-covid-19-related-stress-for-eligible-corporate-borrowers-and-msme-above-rs-25-crore-as-per-rbi-guidelines/,indianbank_147.txt,Found
Derivatives,https://indianbank.in/departments/derivatives/,indianbank_148.txt,Found
TERM LOAN,https://indianbank.in/departments/term-loan/,indianbank_149.txt,Found
WORKING CAPITAL,https://indianbank.in/departments/working-capital/,indianbank_150.txt,Found
CORPORATE LOAN,https://indianbank.in/departments/corporate-loan/,indianbank_151.txt,Found
Corporate credit,https://indianbank.in/departments/corporate-credit/,indianbank_152.txt,Found
Credit Cards,https://indianbank.in/departments/credit-cards/,indianbank_153.txt,Found
Ind Mobile banking,https://indianbank.in/departments/ind-mobile-banking/,indianbank_154.txt,Found
Multicity Cheque Facility,https://indianbank.in/departments/multicity-cheque-facility/,indianbank_155.txt,Found
IND- KRISHI INFRA FUND (AGRICULTURE INFRA FUND),https://indianbank.in/departments/ind-krishi-infra-fund-agriculture-infra-fund/,indianbank_156.txt,Found
Agri Clinic and Agri Business Centres,https://indianbank.in/departments/agri-clinic-and-agri-business-centres/,indianbank_157.txt,Found
SHG Bank Linkage Programme  Direct Linkage to SHGs,https://indianbank.in/departments/shg-bank-linkage-programme-direct-linkage-to-shgs/,indianbank_158.txt,Found
Financing Agriculturists for Purchase of Tractors & Other Farm Machinery,https://indianbank.in/departments/financing-agriculturists-for-purchase-of-tractors/,indianbank_159.txt,Found
SELF HELP GROUP (SHG)  SHAKTI,https://indianbank.in/departments/self-help-group-shg-shakti/,indianbank_160.txt,Found
Joint liability group (JLG),https://indianbank.in/departments/joint-liability-group-jlg/,indianbank_161.txt,Found
Kisan Credit Card (KCC),https://indianbank.in/departments/rupay-kisan-card/,indianbank_162.txt,Found
"IB Star Agro Mills (Rice Mill, Dhal Mill, Oil Mill and Flour Mill)",https://indianbank.in/departments/ib-star-agro-mills-rice-mill-dhal-mill-oil-mill-flour-mill-ib-star-agro-mill-pan-india-cluster/,indianbank_163.txt,Found
Agricultural Godowns / Cold Storage,https://indianbank.in/departments/agricultural-godowns-cold-storage/,indianbank_164.txt,Found
IND Micro Food Processing Enterprises- (PMFME),https://indianbank.in/departments/ind-micro-food-processing-enterprises-pmfme/,indianbank_165.txt,Found
Food and Agro Processing,https://indianbank.in/departments/food-and-agro-processing/,indianbank_166.txt,Found
IND PASHUDHAN Mitra- Animal Husbandry Infrastructure Development Fund (AHIDF),https://indianbank.in/departments/ind-pashudhan-mitra-the-animal-husbandry-infrastructure-development-fund-ahidf/,indianbank_167.txt,Found
IND KISAN SAUR SHAKTHI (PM KUSUM),https://indianbank.in/departments/ind-kisan-saur-shakthi-pm-kusum/,indianbank_168.txt,Found
Dairy Loan,https://indianbank.in/departments/dairy-loan/,indianbank_169.txt,Found
Kisan Credit Card (KCC)  Animal Husbandry and Fisheries,https://indianbank.in/departments/kisan-credit-card-kcc-animal-husbandry-and-fisheries/,indianbank_170.txt,Found
Agricultural Jewel Loan Scheme,https://indianbank.in/departments/agricultural-jewel-loan-scheme/,indianbank_171.txt,Found
SHG  NIRMAL,https://indianbank.in/departments/shg-nirmal/,indianbank_172.txt,Found
Disclosures made to Stock Exchanges,https://indianbank.in/departments/disclosures-made-to-stock-exchanges/,indianbank_173.txt,Found
Corporate Governance,https://indianbank.in/departments/corporate-governance-2/,indianbank_174.txt,Found
Annual General Meetings and Extraordinary General Meetings,https://indianbank.in/departments/annual-general-meetings-and-extraordinary-general-meetings/,indianbank_175.txt,Found
Details of Outstanding Tier 1 and Tier 2 Bonds,https://indianbank.in/departments/details-of-outstanding-tier-1-and-tier-2-bonds/,indianbank_176.txt,Found
Policies,https://indianbank.in/departments/policies/,indianbank_177.txt,Found
MD & CEO Speeches / Media Interaction,https://indianbank.in/departments/mdceo-speeches/,indianbank_178.txt,Found
Financial Results,https://indianbank.in/departments/financial-results/,indianbank_179.txt,Found
Media Speaks,https://indianbank.in/departments/media-speaks/,indianbank_180.txt,Found
Annual Reports,https://indianbank.in/departments/annual-reports/,indianbank_181.txt,Found
Subsidiaries and Joint Ventures,https://indianbank.in/departments/subsidiaries-and-joint-ventures/,indianbank_182.txt,Found
Statutory Central Auditors,https://indianbank.in/departments/statutory-central-auditors/,indianbank_183.txt,Found
Investor / Analyst Presentation,https://indianbank.in/departments/investor-analyst-presentation/,indianbank_184.txt,Found
Important Notices to Shareholders / Bondholders,https://indianbank.in/departments/important-notices-to-shareholders-bondholders/,indianbank_185.txt,Found
Important Contacts,https://indianbank.in/departments/investor-contacts/,indianbank_186.txt,Found
Dividend Details,https://indianbank.in/departments/dividend-details/,indianbank_187.txt,Found
,https://indianbank.in/author/,,Not Found
Loans,https://indianbank.in/category/loans/,indianbank_189.txt,Found
EMI Calculator,https://indianbank.in/emi-calculator/,indianbank_190.txt,Found
IB RERA Current Account,https://indianbank.in/departments/ib-rera-current-account/,indianbank_191.txt,Found
IB i-Freedom Current Account,https://indianbank.in/departments/ib-i-freedom-current-account/,indianbank_192.txt,Found
IMPORTANT TERMS AND CONDITIONS  CA,https://indianbank.in/departments/important-terms-and-conditions-2/,indianbank_193.txt,Found
IB COMFORT- DOMESTIC AND NRE,https://indianbank.in/departments/ib-comfort-domestic-and-nre/,indianbank_194.txt,Found
Current Account,https://indianbank.in/departments/current-account/,indianbank_195.txt,Found
CA FOR STATE /CENTRAL GOVT & CONSULAR & IND PFMS,https://indianbank.in/departments/ca-for-state-central-govt-consular-ind-pfms/,indianbank_196.txt,Found
Premium Current Account,https://indianbank.in/departments/premium-current-account/,indianbank_197.txt,Found
RAJASEKAR KALIDASSAN,https://indianbank.in/author/34913/,indianbank_198.txt,Found
Ind Netbanking,https://indianbank.in/departments/ind-netbanking/,indianbank_199.txt,Found
Arogya Raksha (Only renewal allowed upto 04/06/2023),https://indianbank.in/departments/arogya-raksha/,indianbank_200.txt,Found
Education Loan Interest Subsidies,https://indianbank.in/departments/hindi-education-loan-interest-subsidies/,indianbank_201.txt,Found
IMAGE  Contact Us,https://indianbank.in/departments/image-contact-us/,indianbank_202.txt,Found
IMAGE  Infrastructure,https://indianbank.in/departments/image-infrastructure/,indianbank_203.txt,Found
IMAGE  Principal’s Message,https://indianbank.in/departments/hindi-image-principals-message/,indianbank_204.txt,Found
IMAGE  Training Philosophy,https://indianbank.in/departments/image-training-philosophy/,indianbank_205.txt,Found
Units of IMAGE,https://indianbank.in/departments/units-of-image/,indianbank_206.txt,Found
IMAGE  Computer Centre,https://indianbank.in/departments/image-computer-centre/,indianbank_207.txt,Found
IB Vidyarthi Suraksha (With PNB-Metlife),https://indianbank.in/departments/ib-vidyarthi-suraksha-with-pnb-metlife/,indianbank_208.txt,Found
ONLINE 2W/4W INSURANCE,https://indianbank.in/departments/online-2w-4w-insurance/,indianbank_209.txt,Found
IB Home Suraksha  Group Insurance Scheme for Home Loan & Mortgage Borrowers (Launch in association with Kotak Life),https://indianbank.in/departments/ib-home-security-group-insurance-scheme-for-mortgage-borrowers-launch-in-association-with-kotak-mahindra-old-mutual-life-insurance-limited/,indianbank_210.txt,Found
COMPLETE HEALTH CARE INSURANCE,https://indianbank.in/departments/complete-health-care-insurance/,indianbank_211.txt,Found
Services,https://indianbank.in/category/services/,indianbank_212.txt,Found
Variable Recurring Deposit,https://indianbank.in/departments/variable-recurring-deposit/,indianbank_213.txt,Found
Capital Gains,https://indianbank.in/departments/capital-gains/,indianbank_214.txt,Found
IB Tax Saver Scheme,https://indianbank.in/departments/ib-tax-saver-scheme/,indianbank_215.txt,Found
Fixed Deposit,https://indianbank.in/departments/fixed-deposit/,indianbank_216.txt,Found
Short Term Deposits,https://indianbank.in/departments/short-term-deposits/,indianbank_217.txt,Found
IND Non-Callable Deposit,https://indianbank.in/departments/ind-non-callable-deposit/,indianbank_218.txt,Found
Motor Accident Claim Tribunal Deposit(MACAD) Scheme,https://indianbank.in/departments/motor-accident-claim-tribunal-depositmacad-scheme/,indianbank_219.txt,Found
Recurring Deposit,https://indianbank.in/departments/recurring-deposit/,indianbank_220.txt,Found
Money multiplier Deposits,https://indianbank.in/departments/re-investment-plan/,indianbank_221.txt,Found
IB Golden Ager  Term Deposit Product for Super Senior Citizens,https://indianbank.in/departments/ib-golden-ager-term-deposit-product-for-super-senior-citizens/,indianbank_222.txt,Found
TERMS AND CONDITIONS-TERM DEPOSIT ACCOUNT,https://indianbank.in/departments/terms-and-conditions-term-deposit-account/,indianbank_223.txt,Found
IND SUPER 400 DAYS,https://indianbank.in/departments/ind-super-400-days/,indianbank_224.txt,Found
Education Loan  Subsidy Schemes,https://indianbank.in/departments/edu-subsidy-schemes/,indianbank_225.txt,Found
BSBDA  AND SMALL ACCOUNT,https://indianbank.in/departments/small-account/,indianbank_226.txt,Found
MACT SB,https://indianbank.in/departments/mact-sb/,indianbank_227.txt,Found
IB Smart Kid,https://indianbank.in/departments/ib-smart-kid/,indianbank_228.txt,Found
“IND Corp SB  Elite” Payroll package scheme for Salaried Class  with bundled Group Personal Accidental Insurance (PAI),https://indianbank.in/departments/ind-corp-sb-elite-payroll-package-scheme-for-salaried-class-with-bundled-group-personal-accidental-insurance-pai/,indianbank_229.txt,Found
SB for students under govt scholarship & SB for DBT,https://indianbank.in/departments/sb-for-students-under-govt-scholarship-sb-for-dbt/,indianbank_230.txt,Found
IB Salaam  Special Account for Defence Personnel,https://indianbank.in/departments/ib-salaam-special-account-for-defence-personnel/,indianbank_231.txt,Found
SB FOR CENTRAL / STATE GOVERNMENT / CONSULAR OFFICES & IND PFMS,https://indianbank.in/departments/48601/,indianbank_232.txt,Found
SB Platinum  Savings  Bank Platinum Account with  Sweep facility,https://indianbank.in/departments/sb-platinum/,indianbank_233.txt,Found
Capital Gains SB account,https://indianbank.in/departments/capital-gains-sb-account/,indianbank_234.txt,Found
Customer On-Boarding using TAB,https://indianbank.in/departments/customer-on-boarding-using-tab/,indianbank_235.txt,Found
New SB Product for Salaried Customers   IND SALARY SURAKSHA,https://indianbank.in/departments/ind-salary-suraksha/,indianbank_236.txt,Found
Savings Bank Account for Pensioners,https://indianbank.in/departments/savings-bank-account-for-pensioners/,indianbank_237.txt,Found
IMPORTANT TERMS AND CONDITIONS  SB,https://indianbank.in/departments/important-terms-and-conditions/,indianbank_238.txt,Found
IB Kishore  Savings Bank Account for Minors,https://indianbank.in/departments/ib-kishore-savings-bank-account-for-minors/,indianbank_239.txt,Found
IB  Sammaan,https://indianbank.in/departments/ib-sammaan/,indianbank_240.txt,Found
IB Gen X  For the Vibrant Youth,https://indianbank.in/departments/ib-gen-x-for-the-vibrant-youth/,indianbank_241.txt,Found
IB DIGI  Online SB Account,https://indianbank.in/departments/ib-digi-online-sb-account/,indianbank_242.txt,Found
IB CORP SB  Payroll package scheme for salaried class,https://indianbank.in/departments/ib-corp-sb-payroll-package-scheme-for-salaried-class/,indianbank_243.txt,Found
IB Mahila Shakti For Women,https://indianbank.in/departments/ib-mahila-shakti-for-women/,indianbank_244.txt,Found
IND SAMPOORNA SALARY PACKAGE,https://indianbank.in/departments/ind-sampoorna-salary-package/,indianbank_245.txt,Found
Savings Bank Account,https://indianbank.in/departments/savings-bank/,indianbank_246.txt,Found
| Your Own Bank,https://indianbank.in/,indianbank_247.txt,Found
Login Procedure for Internet Banking,https://indianbank.in/departments/login-procedure-net/,indianbank_248.txt,Found
How-to Videos  Internet Banking,https://indianbank.in/departments/videos-inet,indianbank_249.txt,Found
How-to Videos  Mobile Banking,https://indianbank.in/departments/videos-indoasis,indianbank_250.txt,Found
